"State","Month","Year","Dayweek","Time","Crash_Type","Bus_Involvement","Heavy_Rigid_Truck_Involvement","Articulated_Truck_Involvement","Speed_Limit","Road_User","Gender","Age","National_Remoteness_Areas_2021","SA4_Name_2021","National_LGA_Name_2021","National_Road_Type","Christmas_Period","Easter_Period","Crash_ID"
"WA","8","2016","Sunday","19:01:00","Multiple","No","No","No","90","Driver","Male","28","Inner Regional Australia","Perth - North West","Wanneroo","Arterial Road","No","No","5201608140102"
"NSW","4","2025","Sunday","07:40:00","Single","No","No","No","100","Driver","Female","21","Outer Regional Australia","Central West","Cabonne","Arterial Road","No","Yes","5799190144377594499"
"NSW","3","2020","Wednesday","14:17:00","Single","No","No","No","80","Motorcycle rider","Male","56","Inner Regional Australia","Coffs Harbour - Grafton","Clarence Valley","National or State Highway","No","No","120201226509"
"WA","1","2026","Wednesday","17:38:00","Single","No","No","No","110","Driver","Female","29","Inner Regional Australia","Bunbury","Harvey","Local Road","No","No","5162963633225987190"
"VIC","7","2020","Friday","21:46:00","Single","No","No","No","100","Driver","Male","27","Inner Regional Australia","Bendigo","Mount Alexander","Arterial Road","No","No","8825952565870739836"
"VIC","3","2023","Wednesday","09:24:00","Single","No","No","No","80","Pedestrian","Female","68","Major Cities of Australia","Melbourne - South East","Monash","National or State Highway","No","No","3197049706359667907"
"NT","7","2020","Thursday","20:08:00","Single","No","No","No","100","Unknown","Male","68","Very Remote Australia","Northern Territory - Outback","MacDonnell","Sub-arterial Road","No","No","72020160395"
"NSW","1","2015","Saturday","08:30:00","Multiple","No","No","No","60","Pedestrian","Female","85","Major Cities of Australia","Sydney - Inner West","Burwood","National or State Highway","No","No","120151052570"
"NSW","7","2015","Thursday","22:15:00","Single","No","No","No","50","Motorcycle rider","Male","33","Inner Regional Australia","Hunter Valley exc Newcastle","Muswellbrook","Local Road","No","No","120151073056"
"VIC","1","2025","Tuesday","03:20:00","Single","No","No","No","60","Driver","Male","30","Major Cities of Australia","Melbourne - Outer East","Yarra Ranges","Arterial Road","No","No","3424157022129198288"
"QLD","4","2021","Monday","10:00:00","Multiple","No","No","No","100","Driver","Male","36","Inner Regional Australia","Wide Bay","Bundaberg","Sub-arterial Road","No","No","320210765467"
"NT","2","2024","Saturday","16:59:00","Multiple","No","No","No","100","Pedestrian","Male","34","Outer Regional Australia","Darwin","Litchfield","National or State Highway","No","No","4755226851697040902"
"VIC","6","2018","Monday","10:30:00","Multiple","No","Yes","No","100","Pedal cyclist","Male","61","Major Cities of Australia","Mornington Peninsula","Mornington Peninsula","National or State Highway","No","No","4715089650317354056"
"VIC","10","2023","Monday","21:30:00","Single","No","No","No","80","Driver","Female","21","Major Cities of Australia","Melbourne - Outer East","Yarra Ranges","Arterial Road","No","No","4011105724842143446"
"WA","3","2015","Thursday","10:28:00","Multiple","No","No","No","80","Driver","Male","32","Remote Australia","Western Australia - Outback (North)","Port Hedland","National or State Highway","No","No","5201503050028"
"NSW","7","2020","Monday","16:50:00","Single","No","No","No","40","Pedestrian","Male","79","Major Cities of Australia","Sydney - City and Inner South","Sydney","Collector Road","No","No","120201236376"
"VIC","11","2024","Saturday","05:20:00","Single","No","No","No","100","Driver","Male","15","Inner Regional Australia","Melbourne - North West","Macedon Ranges","Arterial Road","No","No","1582389772212658289"
"NSW","8","2018","Sunday","18:25:00","Multiple","No","No","No","50","Driver","Male","37","Major Cities of Australia","Hunter Valley exc Newcastle","Port Stephens","Arterial Road","No","No","120181178801"
"QLD","2","2025","Sunday","22:00:00","Multiple","No","No","Yes","100","Driver","Male","61","Inner Regional Australia","Darling Downs - Maranoa","Toowoomba","National or State Highway","No","No","5380221445639998901"
"NSW","12","2016","Sunday","14:00:00","Multiple","No","No","No","100","Driver","Female","67","Inner Regional Australia","Richmond - Tweed","Richmond Valley","Sub-arterial Road","Yes","No","120161122698"
"WA","11","2020","Friday","23:41:00","Single","No","No","No","80","Passenger","Female","19","Inner Regional Australia","Perth - North East","Swan","Local Road","No","No","4202014434"
"NSW","4","2023","Tuesday","23:09:00","Single","No","No","No","60","Passenger","Male","12","Outer Regional Australia","Riverina","Leeton","Local Road","No","No","3535642823768097826"
"QLD","11","2022","Thursday","23:00:00","Single","No","No","No","80","Driver","Male","17","Major Cities of Australia","Brisbane - East","Brisbane","Local Road","No","No","2584602930421414085"
"VIC","7","2024","Sunday","09:26:00","Single","No","No","No","60","Passenger","Male","19","Inner Regional Australia","Bendigo","Greater Bendigo","Sub-arterial Road","No","No","2508964783800695641"
"NSW","3","2017","Friday","15:15:00","Multiple","No","No","No","100","Driver","Male","30","Inner Regional Australia","New England and North West","Tamworth Regional","National or State Highway","No","No","120171131758"
"WA","8","2015","Monday","02:19:00","Single","No","No","No","110","Driver","Male","24","Inner Regional Australia","Bunbury","Busselton","Arterial Road","No","No","5201508170085"
"VIC","5","2020","Sunday","17:20:00","Multiple","No","No","No","60","Pedal cyclist","Female","60","Major Cities of Australia","Melbourne - Inner South","Bayside (Vic.)","Arterial Road","No","No","6090368530577636467"
"QLD","1","2026","Thursday","09:00:00","Multiple","No","No","No","70","Driver","Female","86","Inner Regional Australia","Darling Downs - Maranoa","Southern Downs","National or State Highway","Yes","No","1535789664304992852"
"WA","8","2022","Sunday","08:13:00","Multiple","No","No","No","110","Passenger","Female","31","Very Remote Australia","Western Australia - Outback (South)","Laverton","Arterial Road","No","No","7549765474637339289"
"WA","7","2017","Thursday","17:50:00","Multiple","No","No","No","60","Driver","Male","84","Major Cities of Australia","Mandurah","Mandurah","Local Road","No","No","5201707270079"
"NSW","9","2022","Friday","18:50:00","Single","No","No","No","80","Pedestrian","Male","32","Major Cities of Australia","Sydney - Outer West and Blue Mountains","Penrith","Arterial Road","No","No","120221301282"
"VIC","4","2015","Monday","16:30:00","Multiple","No","No","No","100","Motorcycle rider","Male","56","Inner Regional Australia","Ballarat","Ballarat","Local Road","No","No","2201504130066"
"VIC","4","2026","Tuesday","12:26:00","Single","No","No","No","40","Pedestrian","Female","65","Inner Regional Australia","Hume","Murrindindi","National or State Highway","No","No","6442715339596403052"
"VIC","7","2025","Wednesday","17:49:00","Multiple","No","No","No","80","Driver","Male","37","Major Cities of Australia","Melbourne - Outer East","Knox","National or State Highway","No","No","5952204570009140737"
"NSW","7","2017","Wednesday","13:05:00","Multiple","No","No","Yes","40","Passenger","Male","96","Outer Regional Australia","New England and North West","Tamworth Regional","National or State Highway","No","No","120171142784"
"VIC","1","2019","Thursday","03:00:00","Single","No","No","Yes","80","Pedestrian","Male","20","Inner Regional Australia","Shepparton","Greater Shepparton","Arterial Road","No","No","3908671521663143666"
"QLD","1","2019","Sunday","03:00:00","Single","No","No","No","100","Driver","Male","24","Inner Regional Australia","Darling Downs - Maranoa","Toowoomba","National or State Highway","No","No","320190087173"
"VIC","2","2015","Saturday","19:40:00","Single","No","No","No","80","Driver","Female","50","Major Cities of Australia","Melbourne - West","Melton","Local Road","No","No","2201502070028"
"QLD","11","2018","Tuesday","23:00:00","Single","No","No","Yes","100","Driver","Male","57","Major Cities of Australia","Logan - Beaudesert","Logan","National or State Highway","No","No","320182125526"
"VIC","4","2025","Friday","14:15:00","Multiple","No","Yes","No","50","Passenger","Male","49","Major Cities of Australia","Melbourne - North East","Whittlesea","Local Road","No","No","7080849298427412050"
"NSW","6","2015","Monday","12:00:00","Multiple","No","No","No","60","Motorcycle rider","Male","17","Major Cities of Australia","Sydney - South West","Fairfield","Local Road","No","No","120151071695"
"QLD","3","2019","Saturday","01:00:00","Single","No","No","No","100","Passenger","Male","19","Remote Australia","Cairns","Cassowary Coast","Sub-arterial Road","No","No","320190635090"
"QLD","6","2024","Friday","23:00:00","Single","Yes","No","No","40","Pedestrian","Male","44","Major Cities of Australia","Brisbane Inner City","Brisbane","Collector Road","No","No","7591114418828053980"
"NSW","4","2023","Thursday","10:50:00","Multiple","No","Yes","No","100","Motorcycle rider","Male","50","Outer Regional Australia","Capital Region","Snowy Monaro Regional","Arterial Road","No","No","8941066676131175714"
"VIC","10","2019","Wednesday","07:15:00","Single","No","No","No","100","Passenger","Male","25","Outer Regional Australia","North West","Mildura","Local Road","No","No","6003591744427690205"
"WA","7","2016","Sunday","20:00:00","Single","No","No","No","110","Passenger","Female","4","Very Remote Australia","Western Australia - Outback (South)","Meekatharra","Local Road","No","No","5201607310096"
"VIC","10","2020","Sunday","11:10:00","Single","No","No","No","50","Pedestrian","Male","73","Major Cities of Australia","Melbourne - North West","Hume","Collector Road","No","No","5517717597975398535"
"TAS","1","2018","Monday","09:55:00","Single","No","No","No","60","Motorcycle rider","Male","27","Inner Regional Australia","Hobart","Glenorchy","Arterial Road","No","No","620182162"
"VIC","12","2021","Friday","08:09:00","Multiple","No","No","Yes","100","Pedestrian","Female","59","Major Cities of Australia","Melbourne - Inner South","Stonnington","National or State Highway","No","No","2742113162566196785"
"QLD","7","2021","Thursday","10:00:00","Multiple","No","No","Yes","100","Passenger","Female","12","Inner Regional Australia","Darling Downs - Maranoa","Toowoomba","Sub-arterial Road","No","No","320211239105"
"QLD","3","2023","Saturday","20:00:00","Single","No","No","No","100","Driver","Male","25","Outer Regional Australia","Moreton Bay - North","Somerset","Local Road","No","No","1510482438552719446"
"QLD","12","2018","Monday","19:00:00","Single","No","No","No","60","Pedestrian","Male","76","Outer Regional Australia","Townsville","Townsville","Sub-arterial Road","Yes","No","320182416525"
"WA","3","2022","Monday","00:30:00","Single","No","No","No","90","Driver","Male","27","Inner Regional Australia","Bunbury","Busselton","Arterial Road","No","No","8144970865522196750"
"NSW","10","2018","Wednesday","15:45:00","Multiple","No","Yes","No","60","Pedal cyclist","Male","50","Major Cities of Australia","Sydney - Inner West","Strathfield","Collector Road","No","No","120181182410"
"VIC","1","2024","Saturday","13:15:00","Multiple","No","No","No","100","Motorcycle rider","Male","30","Inner Regional Australia","Latrobe - Gippsland","Wellington","National or State Highway","No","No","637987809219209644"
"QLD","3","2025","Wednesday","01:00:00","Multiple","No","No","No","80","Driver","Female","36","Major Cities of Australia","Logan - Beaudesert","Logan","Sub-arterial Road","No","No","6682119704071301306"
"VIC","4","2017","Wednesday","16:30:00","Multiple","No","No","No","100","Passenger","Female","75","Inner Regional Australia","Geelong","Golden Plains","Local Road","No","No","4994810400162452013"
"WA","9","2015","Saturday","16:00:00","Single","No","No","No","90","Driver","Male","28","Outer Regional Australia","Western Australia - Wheat Belt","Chittering","Arterial Road","No","No","5201509190099"
"QLD","2","2023","Sunday","08:00:00","Multiple","No","No","No","50","Passenger","Female","19","Inner Regional Australia","Wide Bay","Fraser Coast","Local Road","No","No","9172552273176189977"
"QLD","8","2025","Tuesday","18:00:00","Single","No","No","No","60","Passenger","Male","66","Major Cities of Australia","Moreton Bay - North","Moreton Bay","Local Road","No","No","3140012340895524281"
"QLD","4","2020","Wednesday","09:00:00","Single","No","No","No","100","Passenger","Male","42","Inner Regional Australia","Wide Bay","Bundaberg","National or State Highway","No","No","320200759830"
"QLD","5","2017","Tuesday","13:00:00","Single","No","No","No","60","Pedestrian","Male","91","Major Cities of Australia","Gold Coast","Gold Coast","Sub-arterial Road","No","No","320170893720"
"NSW","10","2017","Wednesday","14:40:00","Single","No","No","No","80","Motorcycle rider","Male","70","Outer Regional Australia","Capital Region","Goulburn Mulwaree","Sub-arterial Road","No","No","120171151384"
"SA","11","2017","Monday","16:40:00","Multiple","No","No","No","100","Driver","Male","72","Outer Regional Australia","Barossa - Yorke - Mid North","Yorke Peninsula","Collector Road","No","No","520171700134838"
"VIC","5","2025","Thursday","19:36:00","Single","No","No","No","60","Pedestrian","Male","43","Major Cities of Australia","Melbourne - Inner","Moreland","Sub-arterial Road","No","No","8990535478383911470"
"QLD","2","2022","Friday","00:00:00","Single","No","No","No","60","Driver","Male","21","Inner Regional Australia","Toowoomba","Toowoomba","Collector Road","No","No","9148281842176080560"
"VIC","3","2023","Sunday","01:15:00","Multiple","No","No","No","80","Passenger","Female","19","Major Cities of Australia","Melbourne - North East","Whittlesea","Local Road","No","No","753076125462218032"
"NSW","7","2023","Saturday","20:00:00","Multiple","No","No","No","60","Motorcycle rider","Male","22","Major Cities of Australia","Sydney - Ryde","Parramatta","Arterial Road","No","No","919779463401112523"
